CATEGORY,GROUP,QUESTION
The Open Budget Questionnaire,The Open Budget Index,1
The Open Budget Questionnaire,The Open Budget Index,2
The Open Budget Questionnaire,The Open Budget Index,3
The Open Budget Questionnaire,The Open Budget Index,4
The Open Budget Questionnaire,The Open Budget Index,5
The Open Budget Questionnaire,The Open Budget Index,6
The Open Budget Questionnaire,The Open Budget Index,7
The Open Budget Questionnaire,The Open Budget Index,8
The Open Budget Questionnaire,The Open Budget Index,9
The Open Budget Questionnaire,The Open Budget Index,10
The Open Budget Questionnaire,The Open Budget Index,11
The Open Budget Questionnaire,The Open Budget Index,12
The Open Budget Questionnaire,The Open Budget Index,13
The Open Budget Questionnaire,The Open Budget Index,14
The Open Budget Questionnaire,The Open Budget Index,15
The Open Budget Questionnaire,The Open Budget Index,16
The Open Budget Questionnaire,The Open Budget Index,17
The Open Budget Questionnaire,The Open Budget Index,18
The Open Budget Questionnaire,The Open Budget Index,19
The Open Budget Questionnaire,The Open Budget Index,20
The Open Budget Questionnaire,The Open Budget Index,21
The Open Budget Questionnaire,The Open Budget Index,22
The Open Budget Questionnaire,The Open Budget Index,23
The Open Budget Questionnaire,The Open Budget Index,24
The Open Budget Questionnaire,The Open Budget Index,25
The Open Budget Questionnaire,The Open Budget Index,26
The Open Budget Questionnaire,The Open Budget Index,27
The Open Budget Questionnaire,The Open Budget Index,28
The Open Budget Questionnaire,The Open Budget Index,29
The Open Budget Questionnaire,The Open Budget Index,30
The Open Budget Questionnaire,The Open Budget Index,31
The Open Budget Questionnaire,The Open Budget Index,32
The Open Budget Questionnaire,The Open Budget Index,33
The Open Budget Questionnaire,The Open Budget Index,34
The Open Budget Questionnaire,The Open Budget Index,35
The Open Budget Questionnaire,The Open Budget Index,36
The Open Budget Questionnaire,The Open Budget Index,37
The Open Budget Questionnaire,The Open Budget Index,38
The Open Budget Questionnaire,The Open Budget Index,39
The Open Budget Questionnaire,The Open Budget Index,40
The Open Budget Questionnaire,The Open Budget Index,41
The Open Budget Questionnaire,The Open Budget Index,42
The Open Budget Questionnaire,The Open Budget Index,43
The Open Budget Questionnaire,The Open Budget Index,44
The Open Budget Questionnaire,The Open Budget Index,45
The Open Budget Questionnaire,The Open Budget Index,46
The Open Budget Questionnaire,The Open Budget Index,47
The Open Budget Questionnaire,The Open Budget Index,48
The Open Budget Questionnaire,The Open Budget Index,49
The Open Budget Questionnaire,The Open Budget Index,50
The Open Budget Questionnaire,The Open Budget Index,51
The Open Budget Questionnaire,The Open Budget Index,52
The Open Budget Questionnaire,The Open Budget Index,53
The Open Budget Questionnaire,The Open Budget Index,54
The Open Budget Questionnaire,The Open Budget Index,55
The Open Budget Questionnaire,The Open Budget Index,56
The Open Budget Questionnaire,The Open Budget Index,57
The Open Budget Questionnaire,The Open Budget Index,58
The Open Budget Questionnaire,The Open Budget Index,60
The Open Budget Questionnaire,The Open Budget Index,61
The Open Budget Questionnaire,The Open Budget Index,62
The Open Budget Questionnaire,The Open Budget Index,63
The Open Budget Questionnaire,The Open Budget Index,64
The Open Budget Questionnaire,The Open Budget Index,66
The Open Budget Questionnaire,The Open Budget Index,67
The Open Budget Questionnaire,The Open Budget Index,68
The Open Budget Questionnaire,The Open Budget Index,69
The Open Budget Questionnaire,The Open Budget Index,70
The Open Budget Questionnaire,The Open Budget Index,71
The Open Budget Questionnaire,The Open Budget Index,73
The Open Budget Questionnaire,The Open Budget Index,74
The Open Budget Questionnaire,The Open Budget Index,75
The Open Budget Questionnaire,The Open Budget Index,76
The Open Budget Questionnaire,The Open Budget Index,77
The Open Budget Questionnaire,The Open Budget Index,78
The Open Budget Questionnaire,The Open Budget Index,79
The Open Budget Questionnaire,The Open Budget Index,80
The Open Budget Questionnaire,The Open Budget Index,81
The Open Budget Questionnaire,The Open Budget Index,82
The Open Budget Questionnaire,The Open Budget Index,83
The Open Budget Questionnaire,The Open Budget Index,84
The Open Budget Questionnaire,The Open Budget Index,85
The Open Budget Questionnaire,The Open Budget Index,86
The Open Budget Questionnaire,The Open Budget Index,87
The Open Budget Questionnaire,The Open Budget Index,88
The Open Budget Questionnaire,The Open Budget Index,89
The Open Budget Questionnaire,The Open Budget Index,91
The Open Budget Questionnaire,The Open Budget Index,95
The Open Budget Questionnaire,The Open Budget Index,96
The Open Budget Questionnaire,The Open Budget Index,101
The Open Budget Questionnaire,The Open Budget Index,108
The Open Budget Questionnaire,The Open Budget Index,109
The Open Budget Questionnaire,The Open Budget Index,110
The Open Budget Questionnaire,The Open Budget Index,111
The Open Budget Questionnaire,The Open Budget Index,112
The Open Budget Questionnaire,Oversight Questions,59
The Open Budget Questionnaire,Oversight Questions,90
The Open Budget Questionnaire,Oversight Questions,92
The Open Budget Questionnaire,Oversight Questions,93
The Open Budget Questionnaire,Oversight Questions,94
The Open Budget Questionnaire,Oversight Questions,97
The Open Budget Questionnaire,Oversight Questions,98
The Open Budget Questionnaire,Oversight Questions,99
The Open Budget Questionnaire,Oversight Questions,100
The Open Budget Questionnaire,Oversight Questions,102
The Open Budget Questionnaire,Oversight Questions,103
The Open Budget Questionnaire,Oversight Questions,104
The Open Budget Questionnaire,Oversight Questions,105
The Open Budget Questionnaire,Oversight Questions,106
The Open Budget Questionnaire,Oversight Questions,107
The Open Budget Questionnaire,Oversight Questions,114
The Open Budget Questionnaire,Oversight Questions,115
The Open Budget Questionnaire,Oversight Questions,116
The Open Budget Questionnaire,Oversight Questions,117
The Open Budget Questionnaire,Oversight Questions,118
The Open Budget Questionnaire,Oversight Questions,119
The Open Budget Questionnaire,Oversight Questions,120
The Open Budget Questionnaire,Oversight Questions,121
The Open Budget Questionnaire,Oversight Questions,122
The Open Budget Questionnaire,Oversight Questions,123
The Open Budget Questionnaire,Oversight Questions,124
The Open Budget Questionnaire,Oversight Questions,125
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),1
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),2
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),3
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),4
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),7
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),8
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),11
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),12
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),13
Info in the Executive's Budget Proposal:,Estimates for the current year (BY),47
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),18
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),19
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),20
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),21
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),22
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),23
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),24
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),25
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),26
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),27
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),28
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),29
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),30
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),31
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),32
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),33
Info in the Executive's Budget Proposal:,Estimates for previous years (BY-),34
Info in the Executive's Budget Proposal:,Estimates for future years (BY+),5
Info in the Executive's Budget Proposal:,Estimates for future years (BY+),6
Info in the Executive's Budget Proposal:,Estimates for future years (BY+),9
Info in the Executive's Budget Proposal:,Estimates for future years (BY+),10
Info in the Executive's Budget Proposal:,Performance Information,16
Info in the Executive's Budget Proposal:,Performance Information,17
Info in the Executive's Budget Proposal:,Performance Information,48
Info in the Executive's Budget Proposal:,Performance Information,49
Info in the Executive's Budget Proposal:,Performance Information,50
Info in the Executive's Budget Proposal:,Performance Information,51
Info in the Executive's Budget Proposal:,Performance Information,52
Info in the Executive's Budget Proposal:,Performance Information,53
Info in the Executive's Budget Proposal:,Performance Information,54
Info in the Executive's Budget Proposal:,Performance Information,55
Within the Oversight function (by oversight body),Strength of the Legislature,59
Within the Oversight function (by oversight body),Strength of the Legislature,97
Within the Oversight function (by oversight body),Strength of the Legislature,98
Within the Oversight function (by oversight body),Strength of the Legislature,99
Within the Oversight function (by oversight body),Strength of the Legislature,100
Within the Oversight function (by oversight body),Strength of the Legislature,102
Within the Oversight function (by oversight body),Strength of the Legislature,103
Within the Oversight function (by oversight body),Strength of the Legislature,104
Within the Oversight function (by oversight body),Strength of the Legislature,105
Within the Oversight function (by oversight body),Strength of the Legislature,106
Within the Oversight function (by oversight body),Strength of the Legislature,107
Within the Oversight function (by oversight body),Strength of the Supreme Audit Institution,90
Within the Oversight function (by oversight body),Strength of the Supreme Audit Institution,92
Within the Oversight function (by oversight body),Strength of the Supreme Audit Institution,93
Within the Oversight function (by oversight body),Strength of the Supreme Audit Institution,94
Within the Oversight function (by oversight body),Public Engagement,114
Within the Oversight function (by oversight body),Public Engagement,115
Within the Oversight function (by oversight body),Public Engagement,116
Within the Oversight function (by oversight body),Public Engagement,117
Within the Oversight function (by oversight body),Public Engagement,118
Within the Oversight function (by oversight body),Public Engagement,119
Within the Oversight function (by oversight body),Public Engagement,120
Within the Oversight function (by oversight body),Public Engagement,121
Within the Oversight function (by oversight body),Public Engagement,122
Within the Oversight function (by oversight body),Public Engagement,123
Within the Oversight function (by oversight body),Public Engagement,124
Within the Oversight function (by oversight body),Public Engagement,125
By Key Budget Document,Pre-Budget Statement,60
By Key Budget Document,Pre-Budget Statement,61
By Key Budget Document,Pre-Budget Statement,62
By Key Budget Document,Executive's Budget Proposal,1
By Key Budget Document,Executive's Budget Proposal,2
By Key Budget Document,Executive's Budget Proposal,3
By Key Budget Document,Executive's Budget Proposal,4
By Key Budget Document,Executive's Budget Proposal,5
By Key Budget Document,Executive's Budget Proposal,6
By Key Budget Document,Executive's Budget Proposal,7
By Key Budget Document,Executive's Budget Proposal,8
By Key Budget Document,Executive's Budget Proposal,9
By Key Budget Document,Executive's Budget Proposal,10
By Key Budget Document,Executive's Budget Proposal,11
By Key Budget Document,Executive's Budget Proposal,12
By Key Budget Document,Executive's Budget Proposal,13
By Key Budget Document,Executive's Budget Proposal,14
By Key Budget Document,Executive's Budget Proposal,15
By Key Budget Document,Executive's Budget Proposal,16
By Key Budget Document,Executive's Budget Proposal,17
By Key Budget Document,Executive's Budget Proposal,18
By Key Budget Document,Executive's Budget Proposal,19
By Key Budget Document,Executive's Budget Proposal,20
By Key Budget Document,Executive's Budget Proposal,21
By Key Budget Document,Executive's Budget Proposal,22
By Key Budget Document,Executive's Budget Proposal,23
By Key Budget Document,Executive's Budget Proposal,24
By Key Budget Document,Executive's Budget Proposal,25
By Key Budget Document,Executive's Budget Proposal,26
By Key Budget Document,Executive's Budget Proposal,27
By Key Budget Document,Executive's Budget Proposal,28
By Key Budget Document,Executive's Budget Proposal,29
By Key Budget Document,Executive's Budget Proposal,30
By Key Budget Document,Executive's Budget Proposal,31
By Key Budget Document,Executive's Budget Proposal,32
By Key Budget Document,Executive's Budget Proposal,33
By Key Budget Document,Executive's Budget Proposal,34
By Key Budget Document,Executive's Budget Proposal,35
By Key Budget Document,Executive's Budget Proposal,36
By Key Budget Document,Executive's Budget Proposal,37
By Key Budget Document,Executive's Budget Proposal,38
By Key Budget Document,Executive's Budget Proposal,39
By Key Budget Document,Executive's Budget Proposal,40
By Key Budget Document,Executive's Budget Proposal,41
By Key Budget Document,Executive's Budget Proposal,42
By Key Budget Document,Executive's Budget Proposal,43
By Key Budget Document,Executive's Budget Proposal,44
By Key Budget Document,Executive's Budget Proposal,45
By Key Budget Document,Executive's Budget Proposal,46
By Key Budget Document,Executive's Budget Proposal,47
By Key Budget Document,Executive's Budget Proposal,48
By Key Budget Document,Executive's Budget Proposal,49
By Key Budget Document,Executive's Budget Proposal,50
By Key Budget Document,Executive's Budget Proposal,51
By Key Budget Document,Executive's Budget Proposal,52
By Key Budget Document,Executive's Budget Proposal,53
By Key Budget Document,Executive's Budget Proposal,54
By Key Budget Document,Executive's Budget Proposal,55
By Key Budget Document,Executive's Budget Proposal,56
By Key Budget Document,Executive's Budget Proposal,57
By Key Budget Document,Executive's Budget Proposal,58
By Key Budget Document,Enacted Budget,101
By Key Budget Document,In-Year Reports,63
By Key Budget Document,In-Year Reports,64
By Key Budget Document,In-Year Reports,65
By Key Budget Document,In-Year Reports,66
By Key Budget Document,In-Year Reports,67
By Key Budget Document,In-Year Reports,68
By Key Budget Document,In-Year Reports,69
By Key Budget Document,In-Year Reports,70
By Key Budget Document,In-Year Reports,71
By Key Budget Document,In-Year Reports,72
By Key Budget Document,Mid-Year Review,73
By Key Budget Document,Mid-Year Review,74
By Key Budget Document,Mid-Year Review,75
By Key Budget Document,Mid-Year Review,76
By Key Budget Document,Year-End Report,77
By Key Budget Document,Year-End Report,78
By Key Budget Document,Year-End Report,79
By Key Budget Document,Year-End Report,80
By Key Budget Document,Year-End Report,81
By Key Budget Document,Year-End Report,82
By Key Budget Document,Year-End Report,83
By Key Budget Document,Year-End Report,84
By Key Budget Document,Year-End Report,85
By Key Budget Document,Year-End Report,86
By Key Budget Document,Audit Report,87
By Key Budget Document,Audit Report,88
By Key Budget Document,Audit Report,89
By Key Budget Document,Audit Report,91
By Key Budget Document,Audit Report,95
By Key Budget Document,Audit Report,96
By Key Budget Document,Audit Report,108
By Key Budget Document,Citizens Budget,109
By Key Budget Document,Citizens Budget,110
By Key Budget Document,Citizens Budget,111
By Key Budget Document,Citizens Budget,112
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",1
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",2
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",3
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",4
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",5
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",6
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",18
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",19
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",20
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",21
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",22
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",23
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",24
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",25
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",26
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",47
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",63
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",64
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",65
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",66
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",74
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",75
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",79
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",80
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",87
Info throughout all eight key documents,"Info on Expenditure (BY, BY+, BY-)",88
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",7
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",8
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",9
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",10
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",27
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",28
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",29
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",30
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",31
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",32
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",46
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",67
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",68
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",69
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",76
Info throughout all eight key documents,"Info on Revenue (BY, BY+, BY-)",81
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",11
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",12
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",13
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",33
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",34
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",70
Info throughout all eight key documents,"Info on Debt (BY, BY+, BY-)",71
Info throughout all eight key documents,Performance Information,16
Info throughout all eight key documents,Performance Information,17
Info throughout all eight key documents,Performance Information,48
Info throughout all eight key documents,Performance Information,49
Info throughout all eight key documents,Performance Information,50
Info throughout all eight key documents,Performance Information,51
Info throughout all eight key documents,Performance Information,52
Info throughout all eight key documents,Performance Information,53
Info throughout all eight key documents,Performance Information,54
Info throughout all eight key documents,Performance Information,55
Info throughout all eight key documents,Performance Information,83
Info throughout all eight key documents,Performance Information,84
Info throughout all eight key documents,Performance Information,85
